date,power,temperature,hour,day,month,year,dayofweek,quarter,hour_sin,hour_cos,month_sin,month_cos,dayofweek_sin,dayofweek_cos,is_weekend,is_month_start,is_month_end,power_lag_1,power_lag_2,power_lag_3,temperature_lag_1,temperature_lag_2,temperature_lag_3
2024-01-01 00:00:00,84.36510786344631,24.534726903503866,0,1,1,2024,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,,,,,,
2024-01-01 01:00:00,87.71782984330467,35.16888442784756,1,1,1,2024,0,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,84.36510786344631,,,24.534726903503866,,
2024-01-01 02:00:00,92.23022652865035,29.060040162555588,2,1,1,2024,0,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,87.71782984330467,84.36510786344631,,35.16888442784756,24.534726903503866,
2024-01-01 03:00:00,106.39961700822536,29.194583778539567,3,1,1,2024,0,1,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,92.23022652865035,87.71782984330467,84.36510786344631,29.060040162555588,35.16888442784756,24.534726903503866
2024-01-01 04:00:00,87.56929121768438,26.93448652409401,4,1,1,2024,0,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,106.39961700822536,92.23022652865035,87.71782984330467,29.194583778539567,29.060040162555588,35.16888442784756
2024-01-01 05:00:00,88.34967467210328,24.799563462644283,5,1,1,2024,0,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,87.56929121768438,106.39961700822536,92.23022652865035,26.93448652409401,29.194583778539567,29.060040162555588
2024-01-01 06:00:00,100.65999072603304,20.202766479394267,6,1,1,2024,0,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,88.34967467210328,87.56929121768438,106.39961700822536,24.799563462644283,26.93448652409401,29.194583778539567
2024-01-01 07:00:00,99.11036753900233,21.404544232939415,7,1,1,2024,0,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,100.65999072603304,88.34967467210328,87.56929121768438,20.202766479394267,24.799563462644283,26.93448652409401
2024-01-01 08:00:00,119.51416292189882,24.066624038673076,8,1,1,2024,0,1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,99.11036753900233,100.65999072603304,88.34967467210328,21.404544232939415,20.202766479394267,24.799563462644283
2024-01-01 09:00:00,92.40769713313651,20.705473525346566,9,1,1,2024,0,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,119.51416292189882,99.11036753900233,100.65999072603304,24.066624038673076,21.404544232939415,20.202766479394267
