date,power,temperature,hour,day,month,year,dayofweek,quarter,hour_sin,hour_cos,month_sin,month_cos,dayofweek_sin,dayofweek_cos,is_weekend,is_month_start,is_month_end,power_lag_1,power_lag_2,power_lag_3,temperature_lag_1,temperature_lag_2,temperature_lag_3,power_mean_24,power_std_24,power_mean_48,power_std_48,temperature_mean_24,temperature_std_24,temperature_mean_48,temperature_std_48
2024-01-01 00:00:00,1.1602719972881073,-0.2154212026081297,0,1,1,2024,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,,,,,,,111.86704035106744,,111.86704035106744,,23.606197464157933,,23.606197464157933,
2024-01-01 01:00:00,-2.3412942945340554,0.42590139459139614,1,1,1,2024,0,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,111.86704035106744,,,23.606197464157933,,,94.23251068231508,24.9389910236203,94.23251068231508,24.9389910236203,25.22203590051,2.285140631292833,25.22203590051,2.285140631292833
2024-01-01 02:00:00,-0.9415426058128674,2.3506293232789472,2,1,1,2024,0,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,76.59798101356273,111.86704035106744,,26.837874336862072,23.606197464157933,,93.05393817493217,17.752288193457865,93.05393817493217,17.752288193457865,28.993602382927197,6.729418626172041,28.993602382927197,6.729418626172041
2024-01-01 03:00:00,-0.012131397021424403,1.4790216749658296,3,1,1,2024,0,1,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,90.69679316016632,76.59798101356273,111.86704035106744,36.53673534776159,26.837874336862072,23.606197464157933,94.80499452366145,14.911761043376341,94.80499452366145,14.911761043376341,29.781360117384004,5.715968773850461,29.781360117384004,5.715968773850461
2024-01-01 04:00:00,-0.15290207059082825,-0.9655407642355013,4,1,1,2024,0,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,100.05816356984931,90.69679316016632,76.59798101356273,32.144633320754416,36.53673534776159,26.837874336862072,95.5720495669796,13.027368508584775,95.5720495669796,13.027368508584775,27.790344856780514,6.657697282657498,27.790344856780514,6.657697282657498
2024-01-01 05:00:00,0.057712951112836426,0.5502424998638334,5,1,1,2024,0,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,98.64026974025222,100.05816356984931,90.69679316016632,19.82628381436656,32.144633320754416,36.53673534776159,96.43698488058942,11.843079953590994,96.43698488058942,11.843079953590994,27.736027265221196,5.956311685138787,27.736027265221196,5.956311685138787
2024-01-01 06:00:00,1.3806043631107965,0.609540495742675,6,1,1,2024,0,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,100.76166144863849,98.64026974025222,100.05816356984931,27.464439307424602,19.82628381436656,32.144633320754416,98.95831685646542,12.703618520615057,98.95831685646542,12.703618520615057,27.739915762321534,5.437353515418625,27.739915762321534,5.437353515418625
2024-01-01 07:00:00,-1.2577464933068208,-1.1885207542993563,7,1,1,2024,0,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,114.08630871172137,100.76166144863849,98.64026974025222,27.763246744923546,27.464439307424602,19.82628381436656,97.52751121034528,12.438046526307684,97.52751121034528,12.438046526307684,26.61025997434186,5.962402711653198,26.61025997434186,5.962402711653198
2024-01-01 08:00:00,-0.23787974548212526,-1.0909383374303443,8,1,1,2024,0,1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,87.51187168750431,114.08630871172137,100.76166144863849,18.70266945848418,27.763246744923546,27.464439307424602,97.55604812548572,11.63504213213265,97.55604812548572,11.63504213213265,25.7862750011682,6.100575912000622,25.7862750011682,6.100575912000622
2024-01-01 09:00:00,-1.2775698923236691,-0.7367419084860262,9,1,1,2024,0,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,97.7843434466093,87.51187168750431,114.08630871172137,19.19439521577891,18.70266945848418,27.763246744923546,96.53166362748782,11.437930889556677,96.53166362748782,11.437930889556677,25.30556949195315,5.949166257717974,25.30556949195315,5.949166257717974
2024-01-01 10:00:00,-0.3224865341318097,-1.4907372081763166,10,1,1,2024,0,1,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,0,87.31220314550666,97.7843434466093,87.51187168750431,20.9792199090177,19.19439521577891,18.70266945848418,96.56807173909401,10.851645856152206,96.56807173909401,10.851645856152206,24.566861001687162,6.152715970632379,24.566861001687162,6.152715970632379
